Artist,Song Name,ISO 639-1 Language Code,track_id,Translation Available?
Ziad Rahbani,Mashhad Ezzo Wal Sakranine 2,en,25818479,FALSE
Ziad Rahbani,Ya Benet El Mouawen,en,25818492,FALSE
Ziad Rahbani,Vulgaire,en,70573998,FALSE
Ziad Rahbani,El Hezen El Takadomi,en,70574015,FALSE
Ziad Rahbani,Uncle Sam,en,70574000,FALSE
Ziad Rahbani,Mech Ossa Hay,en,68769325,FALSE
Ziad Rahbani,Nassam Alayna L'hawa,en,107733167,FALSE
Ziad Rahbani,Kabbaret Dancing (Instrumental),en,33797854,FALSE
Ziad Rahbani,A’anitham,en,13679196,FALSE
Ziad Rahbani,Al Akhlaq 1,en,26045035,FALSE
Ziad Rahbani,Hadara,en,70574001,FALSE
Ziad Rahbani,Mawal Hay Ellkom Dawi,en,25818481,FALSE
Ziad Rahbani,"Ataba, Pt. 3",en,71116341,FALSE
Ziad Rahbani,Variation 2,en,40721319,FALSE
Ziad Rahbani,Girls' Dance,en,108174399,FALSE
Ziad Rahbani,End Part 1,en,55711902,FALSE
Ziad Rahbani,Finale,en,13688951,FALSE
Ziad Rahbani,Fairouz - Oghneyat Al Radio,en,26045049,FALSE
Ziad Rahbani,Break 8,en,26045045,FALSE
Ziad Rahbani,Skamla,en,70573986,FALSE
Ziad Rahbani,Ouverture 83,en,68769317,FALSE
Ziad Rahbani,Fi Ouyoun Btebki,en,25818465,FALSE
Ziad Rahbani,Noss Al Alf 500,en,236245527,FALSE
Ziad Rahbani,La Teatab Aleyi,en,107733159,FALSE
Ziad Rahbani,Bright Lights,en,107755507,FALSE
Ziad Rahbani,Mataam Bebram,en,13679256,FALSE
Ziad Rahbani,Final - Al Adala,en,33797851,FALSE
Ziad Rahbani,Taksim Organ & Tabla,en,43511590,FALSE
Ziad Rahbani,Njoum El Layl,en,25818485,FALSE
Ziad Rahbani,Ma Tfel,en,13688950,FALSE
Ziad Rahbani,Raksat Al Banat,en,25818486,FALSE
